"","num_genes","avg_expression","median_expression","std_dev","min_expression","max_expression","gene_list"
"1",462,89.9688395454545,17.8180255,457.480868763632,0.0044295,8639.111451,"yy1_exclu_taf1"
"2",109,171.132647215596,22.8022725,866.153223778561,0.012463,8639.111451,"promo_yy1_exclu_taf1"
"3",640,136.587668948438,27.939664,648.040434621323,0.0394915,8759.0465175,"taf1_exclu_yy1"
"4",587,144.781152954003,28.2352845,675.713404630006,0.0394915,8759.0465175,"promo_taf1_exclu_yy1"
"5",73,479.881190308219,41.4970105,1823.88923566268,0.077872,10059.3852265,"yy1_com_taf1"
"6",64,541.845037726563,40.57512325,1941.64783472871,0.5744315,10059.3852265,"promo_yy1_com_taf1"
