peak_id	transcription_factor	comparison	SqDiff
MM1_HSA_H1-hESC_MAFK	MAFK	BACH1	0.041988181901146344
MM1_HSA_H1-hESC_MAX	MAX	USF1	0.04061602699724338
MM1_HSA_H1-hESC_MAX	MAX	MYC	0.32037015269807534
MM1_HSA_H1-hESC_MAX	MAX	USF2	0.1753078381168379
MM1_HSA_H1-hESC_MAX	MAX	CTCF	0.04557776229858268
MM1_HSA_H1-hESC_MXI1	MXI1	MYC	0.037009095223583414
MM1_HSA_H1-hESC_MYC	MYC	MXI1	0.046450976915974135
MM1_HSA_H1-hESC_SP1	SP1	SP4	0.05654382404151406
MM1_HSA_H1-hESC_SP1	SP1	YY1	0.045155761040420295
MM1_HSA_H1-hESC_SP2	SP2	GABPA	0.05303948576675849
MM1_HSA_H1-hESC_TAF1	TAF1	NRF1	0.044895939007467696
MM1_HSA_H1-hESC_TAF1	TAF1	GABPA	0.04331469504496379
MM1_HSA_H1-hESC_USF1	USF1	USF2	0.1286147920740062
MM1_HSA_H1-hESC_USF1	USF1	MAX	0.15357095784968636
MM1_HSA_H1-hESC_USF1	USF1	ATF3	0.2372223585620664
MM1_HSA_H1-hESC_USF1	USF1	CTCF	0.04696661632818616
MM1_HSA_H1-hESC_USF2	USF2	USF1	0.03265278957025317
MM1_HSA_H1-hESC_USF2	USF2	ATF3	0.16307020245413473
MM1_HSA_H1-hESC_USF2	USF2	MAX	0.15026649366728773
MM1_HSA_H1-hESC_YY1	YY1	TAF1	0.20902863028945728
MM1_HSA_H1-hESC_YY1	YY1	CTCF	0.04722263708752741
MM1_HSA_H1-hESC_YY1	YY1	NRF1	0.3451675743025985
MM1_HSA_H1-hESC_YY1	YY1	USF1	0.08879571051140288
MM1_HSA_H1-hESC_ZNF143	ZNF143	ZNF143	0.032224407770902276
MM1_HSA_H1-hESC_ZNF143	ZNF143	SIX5	0.0853321053687395
MM1_HSA_H1-hESC_ZNF143	ZNF143	CTCF	0.0644108080274737
MM1_HSA_HCT116_ATF3	ATF3	ATF3	0.0703971565568327
MM1_HSA_HCT116_ATF3	ATF3	JUND	0.1202140869352913
MM1_HSA_HCT116_ATF3	ATF3	FOSL1	0.11398028263386573
MM1_HSA_HCT116_ATF3	ATF3	CEBPB	0.05980904893813481
MM1_HSA_HCT116_CEBPB	CEBPB	FOSL1	0.1261919764695669
MM1_HSA_HCT116_CEBPB	CEBPB	JUND	0.14522835819132981
MM1_HSA_HCT116_CEBPB	CEBPB	ATF3	0.17052916675623617
MM1_HSA_HCT116_CEBPB	CEBPB	CTCF	0.22988009143003052
MM1_HSA_HCT116_EGR1	EGR1	ELF1	0.03670198660548013
MM1_HSA_HCT116_FOSL1	FOSL1	JUND	0.032641611833282146
MM1_HSA_HCT116_MAX	MAX	USF1	0.07524739468758701
MM1_HSA_HCT116_USF1	USF1	MAX	0.08182938915239367
MM1_HSA_HCT116_USF1	USF1	JUND	0.07223962517386542
MM1_HSA_HCT116_USF1	USF1	FOSL1	0.0836493376817732
MM1_HSA_HCT116_USF1	USF1	ELF1	0.06628385279870508
MM1_HSA_HCT116_YY1	YY1	ELF1	0.03254832711911959
MM1_HSA_HCT116_YY1	YY1	EGR1	0.04140751757706869
MM1_HSA_HEK293_ATF2	ATF2	ZBTB21	0.08475664187274559
MM1_HSA_HEK293_ATF2	ATF2	ZFHX2	0.038942896886416535
MM1_HSA_HEK293_ATF2	ATF2	SP2	0.13263700952107035
MM1_HSA_HEK293_CTCF	CTCF	ZNF654	0.039866481272763425
MM1_HSA_HEK293_EGR2	EGR2	SP2	0.10840702320333619
MM1_HSA_HEK293_EGR2	EGR2	MAZ	0.09571463729259531
MM1_HSA_HEK293_KLF1	KLF1	KLF9	0.06484319832558685
MM1_HSA_HEK293_KLF1	KLF1	SP2	0.06901551781933278
MM1_HSA_HEK293_KLF10	KLF10	SP3	0.04806899969275675
MM1_HSA_HEK293_KLF9	KLF9	SP3	0.04684356891706598
MM1_HSA_HEK293_MAZ	MAZ	SP2	0.03202112718074567
MM1_HSA_HEK293_MAZ	MAZ	PATZ1	0.04798364395266605
MM1_HSA_HEK293_MAZ	MAZ	SP3	0.046707968059923895
MM1_HSA_HEK293_REST	REST	CTCF	0.036318429313726024
MM1_HSA_HEK293_REST	REST	ZNF654	0.039048443411971286
MM1_HSA_HEK293_ZBTB21	ZBTB21	ATF2	0.046056095012956245
MM1_HSA_HEK293_ZBTB21	ZBTB21	WT1	0.03842438204230258
MM1_HSA_HEK293_ZFHX2	ZFHX2	SP2	0.06083932886492979
MM1_HSA_HEK293_ZFHX2	ZFHX2	MAZ	0.05590539067944007
MM1_HSA_HEK293_ZFP69B	ZFP69B	ZFHX2	0.0390019037501931
MM1_HSA_HEK293_ZFP69B	ZFP69B	PATZ1	0.032279314214121946
MM1_HSA_HEK293_ZFP69B	ZFP69B	SP2	0.06525297553797936
MM1_HSA_HEK293_ZIC2	ZIC2	ZNF263	0.04110839210372546
MM1_HSA_HEK293_ZIC2	ZIC2	CTCF	0.14504789955071107
MM1_HSA_HEK293_ZNF10	ZNF10	CTCF	0.09982261469457121
MM1_HSA_HEK293_ZNF121	ZNF121	ZNF362	0.08833257960966001
MM1_HSA_HEK293_ZNF18	ZNF18	ZFHX2	0.06759532252198638
MM1_HSA_HEK293_ZNF18	ZNF18	EGR2	0.07877221807338837
