peak_id	transcription_factor	comparison	SqDiff
MM1_HSA_HepG2_JUND	JUND	ATF2	0.27440263487729355
MM1_HSA_HepG2_JUND	JUND	JUN	0.12353823554745041
MM1_HSA_HepG2_JUND	JUND	FOSL2	0.4347268260306841
MM1_HSA_HepG2_MNT	MNT	MAX	0.10575827315843367
MM1_HSA_HepG2_MNT	MNT	USF1	0.10431754836032134
MM1_HSA_HepG2_NFIL3	NFIL3	CEBPG	0.16391632373113857
MM1_HSA_HepG2_RFX1	RFX1	SP5	0.09182736455463729
MM1_HSA_HepG2_RFX1	RFX1	ELF1	0.08560447107837216
MM1_HSA_HepG2_RFX3	RFX3	ELF1	0.14641781108802146
MM1_HSA_IMR-90_BHLHE40	BHLHE40	MAZ	0.10841616752787957
MM1_HSA_IMR-90_CEBPB	CEBPB	FOS	0.16317201658773323
MM1_HSA_IMR-90_CEBPB	CEBPB	CTCF	0.29883367422051144
MM1_HSA_IMR-90_NFE2L2	NFE2L2	FOS	0.10203348773979085
MM1_HSA_IMR-90_NFE2L2	NFE2L2	MAZ	0.10683399118754153
MM1_HSA_IMR-90_USF2	USF2	MAZ	0.14174152078873903
MM1_HSA_K562_AFF1	AFF1	ZNF184	0.11065389386879664
MM1_HSA_K562_ATF3	ATF3	ATF3	0.1393054068615889
MM1_HSA_K562_ATF3	ATF3	JUND	0.21209040102657897
MM1_HSA_K562_ATF3	ATF3	FOS	0.11647638951909718
MM1_HSA_K562_ATF3	ATF3	FOSL1	0.19504510213575452
MM1_HSA_K562_ATF3	ATF3	JUN	0.12000085062466272
MM1_HSA_K562_CEBPB	CEBPB	ATF4	0.0896266176122293
MM1_HSA_K562_CEBPB	CEBPB	ATF7	0.19047412267624353
MM1_HSA_K562_CEBPB	CEBPB	ATF3	0.17404948836737424
MM1_HSA_K562_CEBPB	CEBPB	JUND	0.12221260825038065
MM1_HSA_K562_CEBPD	CEBPD	CEBPD	0.10859517241744714
MM1_HSA_K562_CEBPD	CEBPD	CEBPB	0.17998855925005466
MM1_HSA_K562_CEBPD	CEBPD	ATF4	0.0880553372488445
MM1_HSA_K562_CEBPD	CEBPD	ATF3	0.14795349024064092
MM1_HSA_K562_EGR1	EGR1	KLF13	0.0985019087077522
MM1_HSA_K562_ETV6	ETV6	E4F1	0.09262959172877369
MM1_HSA_K562_ETV6	ETV6	ELF4	0.10875371921303315
MM1_HSA_K562_MAFF	MAFF	MAFG	0.10306243403159393
MM1_HSA_K562_NFE2L1	NFE2L1	C11orf30	0.10674715242774137
MM1_HSA_K562_NFYB	NFYB	MAZ	0.17294675322487982
MM1_HSA_K562_NFYB	NFYB	PKNOX1	0.12661920931721318
MM1_HSA_K562_NRF1	NRF1	ZBTB2	0.095684577645903
MM1_HSA_K562_RFX1	RFX1	MAZ	0.1359990481856038
MM1_HSA_K562_SPI1	SPI1	GABPB1	0.09205332032178676
MM1_HSA_K562_SPI1	SPI1	E4F1	0.10514727965129723
MM1_HSA_K562_SPI1	SPI1	ELF4	0.14517712090764015
MM1_HSA_K562_SPI1	SPI1	ELF1	0.14318105925635122
MM1_HSA_K562_YY1	YY1	MAZ	0.13518968458116923
MM1_HSA_K562_YY1	YY1	GABPB1	0.08600415328335333
MM1_HSA_MCF-7_ATF7	ATF7	FOS	0.12367347013480814
MM1_HSA_MCF-7_ATF7	ATF7	CEBPB	0.08547062278881458
MM1_HSA_MCF-7_ATF7	ATF7	GRHL2	0.2027708010815614
MM1_HSA_MCF-7_CEBPB	CEBPB	FOS	0.2220977460307974
MM1_HSA_MCF-7_CEBPB	CEBPB	GRHL2	0.13674794633592072
MM1_HSA_MCF-7_CEBPB	CEBPB	TFAP2C	0.13859124219578298
MM1_HSA_MCF-7_CEBPG	CEBPG	ATF7	0.40905480674539824
MM1_HSA_MCF-7_CEBPG	CEBPG	FOS	0.29679849789724017
MM1_HSA_MCF-7_CEBPG	CEBPG	GRHL2	0.17635577783694129
MM1_HSA_MCF-7_CREB1	CREB1	FOS	0.08881381654242963
MM1_HSA_MCF-7_CREB1	CREB1	TFAP2C	0.09766532951664372
MM1_HSA_MCF-7_CREB1	CREB1	GABPA	0.2797468829277503
MM1_HSA_MCF-7_ESRRA	ESRRA	NR2F2	0.08569254013728828
MM1_HSA_MCF-7_FOS	FOS	FOSL2	0.1908050417961209
MM1_HSA_MCF-7_FOS	FOS	JUND	0.203304368622449
MM1_HSA_MCF-7_FOS	FOS	DPF2	0.1619957135221074
MM1_HSA_MCF-7_GRHL2	GRHL2	SMARCE1	0.1920468208082711
MM1_HSA_MCF-7_REST	REST	CTCF	0.18885012860713446
MM1_HSA_MCF-7_RFX1	RFX1	CTCF	0.08574532428921038
MM1_HSA_SK-N-SH_MAX	MAX	MXI1	0.23557819672641134
MM1_HSA_SK-N-SH_MXI1	MXI1	MAX	0.1408005353678794
MM1_HSA_SK-N-SH_MXI1	MXI1	USF1	0.10977110111180445
MM1_HSA_SK-N-SH_USF1	USF1	USF2	0.11486496071436568
MM1_HSA_SK-N-SH_USF1	USF1	MXI1	0.08689847571374955
MM1_HSA_SK-N-SH_YY1	YY1	TAF1	0.14315842334140136
