peak_id	comparison	SqDiff
MM1_HSA_GM12878_CTCF	TRIM22	0.03148066480185555
MM1_HSA_GM12878_CTCF	ELF1	0.024488666161645595
MM1_HSA_GM12878_CTCF	SP1	0.023516617118651294
MM1_HSA_GM12878_E2F8	ELK1	0.003025
MM1_HSA_GM12878_E4F1	E4F1	0.0027126736111111114
MM1_HSA_GM12878_E4F1	ELF1	0.0027126736111111114
MM1_HSA_GM12878_E4F1	ELK1	0.010184327918525377
MM1_HSA_GM12878_E4F1	GABPA	0.0044444444444444444
MM1_HSA_GM12878_EBF1	EBF1	0.012537256491750899
MM1_HSA_GM12878_EBF1	MEF2B	0.036280314479238046
MM1_HSA_GM12878_EGR1	EGR1	4.865782052974597e-4
MM1_HSA_GM12878_EGR1	SP1	0.06929654831254556
MM1_HSA_GM12878_EGR1	ELF1	0.07070065822446456
MM1_HSA_GM12878_EGR1	CTCF	0.01259213474205014
MM1_HSA_GM12878_ELF1	ELF1	4.137615496953297e-4
MM1_HSA_GM12878_ELF1	SPI1	0.007524184629622769
MM1_HSA_GM12878_ELF1	GABPA	0.0461297289427067
MM1_HSA_GM12878_ELF1	ELK1	0.05092037340964245
MM1_HSA_GM12878_ELF1	ETS1	0.03540564749551558
MM1_HSA_GM12878_ELK1	ELK1	0.006574141709276845
MM1_HSA_GM12878_ELK1	ELF1	0.006574141709276845
MM1_HSA_GM12878_ELK1	GABPA	0.007612269717580289
MM1_HSA_GM12878_ELK1	ETS1	0.004055563290783
MM1_HSA_GM12878_ELK1	E4F1	0.002696598543616656
MM1_HSA_GM12878_ETS1	ELK1	0.0032653061224489793
MM1_HSA_GM12878_ETV6	ETV6	0.0017818014501916495
MM1_HSA_GM12878_ETV6	SPI1	0.007068099995338627
MM1_HSA_GM12878_ETV6	BCL11A	0.009713253036432482
MM1_HSA_GM12878_ETV6	IRF4	0.009509191585541735
MM1_HSA_GM12878_ETV6	ELF1	0.029803153306660633
MM1_HSA_GM12878_FOS	IRF3	0.09509208406916494
MM1_HSA_GM12878_FOS	NFYA	0.055177694698437
MM1_HSA_GM12878_FOS	SP1	0.008538603601929495
MM1_HSA_GM12878_GABPA	GABPA	0.0037259751366609845
MM1_HSA_GM12878_GABPA	ELF1	0.008620826038624355
MM1_HSA_GM12878_GABPA	ELK1	0.030942081579329372
MM1_HSA_GM12878_GABPA	ETS1	0.014775840646827201
MM1_HSA_GM12878_GABPA	SPI1	0.00876022228154044
MM1_HSA_GM12878_HSF1	HSF1	0.0011290698045663084
MM1_HSA_GM12878_IRF3	NFYA	0.0064
MM1_HSA_GM12878_IRF4	IRF4	0.0024010281934764856
MM1_HSA_GM12878_IRF4	SPI1	0.007378280634546241
MM1_HSA_GM12878_IRF4	BCL11A	0.01070154577883472
MM1_HSA_GM12878_IRF4	ETV6	0.007752857877457378
MM1_HSA_GM12878_IRF5	IRF5	0.002608683084749682
MM1_HSA_GM12878_IRF5	ELF1	0.002608683084749682
MM1_HSA_GM12878_JUNB	JUNB	0.011879236477611362
MM1_HSA_GM12878_JUNB	BATF	0.018262715017210763
MM1_HSA_GM12878_JUNB	BATF3	0.013688978771503452
MM1_HSA_GM12878_JUNB	RUNX3	0.00550756657825265
MM1_HSA_GM12878_JUNB	IRF4	0.04630780089402538
MM1_HSA_GM12878_JUND	BATF3	0.025956607495069037
MM1_HSA_GM12878_MAFK	MAFK	1.9453547497534713e-4
MM1_HSA_GM12878_MAZ	NRF1	0.0036730945821854917
MM1_HSA_GM12878_MEF2B	MEF2B	0.016283256063663282
MM1_HSA_GM12878_MEF2B	EBF1	0.05007825330593873
MM1_HSA_GM12878_MEF2B	SPI1	0.07340229931100788
MM1_HSA_GM12878_NFE2	NFE2	0.02840850246897711
MM1_HSA_GM12878_NFE2	USF1	0.034742910424343486
MM1_HSA_GM12878_NFE2	USF2	0.1807514805537418
MM1_HSA_GM12878_NFE2	ATF3	0.05932841525727482
MM1_HSA_GM12878_NFE2	MAX	0.0767890840470315
MM1_HSA_GM12878_NFYB	NFYB	0.007511976406474952
